old exposure,new exposure,cost incr,cost decr,profit,net profit
283870.0,229199.24908972843,973.5570735380309,1996.0570300263307,17384.19008120177,14414.575977637407
331439.0,286358.3747717622,3098.8731894610924,7092.520130792401,4643.914183872572,-5547.479136380922
224560.0,256611.92349101868,6403.612241330147,5622.144972316556,23250.39246922538,11224.635255578676
247991.0,218909.92619131148,5709.030125329062,8699.729726583537,69919.78353356644,55511.02368165384
215275.0,228753.63884214408,1008.8546759837694,882.3401509978468,25262.64880165627,23371.453974674652
255067.0,229739.0105965677,8623.178600837176,5815.313987476722,279546.39279895433,265107.9002106404
176077.0,149511.64777253286,0.06445464398164658,715.8529960194609,4288.224365089406,3572.3069144259634
84347.0,70610.61902387085,1730.2348771474271,1854.4968010609343,16275.697007589046,12690.965329380686
202649.0,234249.13044316688,7532.8317278705445,4992.4225350992565,44764.948265261984,32239.694002292184
213396.0,177451.06102213624,1117.054845666106,4117.579856430276,20388.419286974753,15153.784584878369
226332.0,211919.01252473486,782.418076556362,886.1549415792356,44474.71969067209,42806.14667253649
185719.0,222490.13704867612,2607.8852707291267,4728.368464246997,19712.60188123886,12376.348146262735
213523.0,201003.43780458963,0.04423539612813397,363.1081834012094,15085.230075499596,14722.077656702257
290377.0,251922.63598680208,4717.1142668845705,6246.171123557432,36470.655270220996,25507.369879778995
262930.0,232378.72398119443,4386.206817969903,6194.9778012084025,18675.668426938795,8094.483807760489
266031.0,217305.98738299395,0.17302189643372354,2122.121668718634,25613.363946844293,23491.069256229228
265784.0,238504.72261514398,8076.546492703383,9779.374180242075,34837.828892052494,16981.908219107034
123098.0,138261.99286993645,879.2740277002843,1223.9965359766738,11806.026064744698,9702.755501067739
