uni,value
old exposure,4068465.0
new exposure,3795181.2314583114
cost incr,57646.954021643534
cost decr,73332.73108573398
profit,712400.7050416038
net profit,581421.0199342263
risk weight,1897590.6798987407
risk weight limit,1897590.572418425
covariance,156934705738.92725
max possible profit,726777.1410340753
target %,80.0
