old exposure,new exposure,cost incr,cost decr,profit,net profit
203844.0,187676.27645229368,6594.483045439297,6768.7056113911285,2946.541783374418,-10416.646873456008
223068.0,282187.64575927163,4953.877214661421,9159.73103300881,7873.046669769922,-6240.561577900307
211161.0,262879.5638689242,9507.568335010972,7224.767004416044,23501.44665486792,6769.111315440907
224867.0,189433.3149913083,5911.113396065577,8334.206593487886,68688.48571224876,54443.165722695296
194540.0,227629.78994512197,3068.449566486238,2951.3602060358494,21100.924222107547,15081.114449585464
322122.0,266427.5891572357,6746.03662176411,6361.519201517722,329570.7932576661,316463.2374343843
266542.0,295997.74138406507,6481.336504399206,8003.284886455563,2663.996430152072,-11820.624960702697
226573.0,182279.98019774765,3386.4604364292863,5310.053722364633,8403.154859224334,-293.35929956958506
191376.0,168946.67071137438,5793.388614732059,8575.346879623781,36931.69346760202,22562.95797324618
194026.0,145637.98090525874,2211.9406587371936,4180.888633700194,27174.402773615264,20781.573481177875
116303.0,101464.04254848108,2183.090750275556,4395.513108682053,29255.62288661649,22677.019027658884
178290.0,149085.7409920864,2822.966595289473,4140.012324721205,4487.5003072651925,-2475.478612745486
168889.0,159953.98971298826,4479.493392902481,6201.025207601158,22697.4799763872,12016.961375883559
242177.0,225682.69738583552,4154.646607261689,5294.300410988332,7548.607312841916,-1900.339705408106
254631.0,288131.24267579766,3603.73357507094,2929.804392512737,20130.666175864422,13597.128208280745
230068.0,190959.98708128938,0.1670361328670489,1994.80273779635,31694.365096643167,29699.39532271395
214239.0,228800.84506870585,4944.817198235891,8196.76608530175,31803.30020842616,18661.71692488852
264345.0,300732.5735550335,8084.623843286391,10809.232305158868,14435.186411174185,-4458.669737271075
