old exposure,new exposure,cost incr,cost decr,profit,net profit
41464.0,0.0332451251749937,0.0006820950736929436,746.351916472009,0.0017387200466521706,-746.350859847036
66233.0,66232.95632996636,0.0011676149633424585,0.0019674981208454433,6451.089946538724,6451.08681142564
18675.0,18674.967627619142,0.0008585528819834898,0.002740334374325936,1600.4447256869605,1600.4411267997043
25074.0,25073.98387188179,0.0011574306809466828,0.0016956101258695016,2399.580256539087,2399.57740349828
21293.0,21293.045764668135,0.003436075003352027,0.0005084339186756093,1944.0550783142007,1944.0511338052788
9465.0,0.08315268241191437,0.0005701125973904155,179.8343903908227,0.00014135956010025442,-179.83481914386
89374.0,89373.98372823297,0.0006608897195489876,0.001528478821218115,2806.3430890665145,2806.340899697974
38589.0,122560.06419684843,2183.2482848965583,0.000665206358868931,8897.860660691196,6714.6117105882795
44176.0,0.08005936165576731,0.0007289940028397553,1501.9816937021385,0.005492072209585638,-1501.9769306239318
14871.0,14870.993726194678,0.0007699763244556863,0.0013971299934307227,1536.1736519159103,1536.1714848095926
3224.0,3224.1898633828328,0.011421951854541697,0.0015047860338649147,492.01137315222036,491.99844641433197
26530.0,93930.91165493795,3774.451633729033,0.00041957359038429203,16221.868442807785,12447.41638950516
27958.0,0.004445299188235234,0.0007453913848819387,838.7403484200383,0.00036095829408470096,-838.7407328531291
58075.0,0.0034522900235254192,0.000681187435788912,1335.7253702677458,7.974789954343718e-05,-1335.725971707282
2088.0,0.020981726403737896,0.0013858192637379776,60.55207478921367,0.0036969801923386176,-60.54976362828507
60143.0,186398.40114018708,6817.792217981783,0.0005486266313593272,72136.1812412524,65318.38847464399
38930.0,0.02373932106091205,0.00036267096071845287,1323.620009892113,0.0014219853315486318,-1323.6189505777422
74065.0,0.019737701271992435,0.0007806457003687875,1259.1050148551362,0.0013678226981490758,-1259.1044276781386
36211.0,36210.9765685976,0.0006995048954184481,0.0018924993796916247,4033.9027897417723,4033.9001977374974
48128.0,202753.51726813536,9122.90608540324,0.000491955021191047,39131.42883275012,30008.522255391857
6091.0,0.0008387274670647565,0.0006536556989485964,274.09557718527554,-1.752940406165341e-05,-274.09624837037853
77320.0,0.0008129479335442567,0.0005489139143121964,1623.7205623233342,-1.4145294043670066e-05,-1623.7211253825426
44047.0,0.0015494575320145094,0.0006999066846749913,1497.5983833569771,0.00088954356912953,-1497.5981937200927
69774.0,120374.79240658692,2530.040125111359,0.0004637700554806054,159099.36312378594,156569.32253490452
54648.0,54647.96985256741,0.0006371123754377846,0.0023377038584581175,1612.1151106507384,1612.1121358345044
66219.0,66219.01865166154,0.0019010703647718433,0.0006866957036173837,5979.577384245037,5979.574796478969
98779.0,98778.98686985807,0.0004702947049724695,0.001692221474761981,3842.5025892374783,3842.5004267212985
92599.0,207958.64304511136,5421.903532844923,0.00043789970373929633,22480.32931317654,17058.42534243191
97134.0,0.014339898480969029,0.00045938914595958886,6410.8437360627095,0.0014999533811093603,-6410.842695498474
84610.0,0.011698802590876321,0.0006377838180466778,3384.400227189777,0.0013746093044279676,-3384.3994903642906
12936.0,0.008502357907861925,0.0009062060435572123,181.10426003592409,0.0008672405066019164,-181.10429900146104
72751.0,326188.8728087271,7349.698984194179,0.000433933694063771,87646.95012370497,80297.2507055771
62963.0,0.010166759232246417,0.0004952337817752793,3525.928082926844,0.00040565369336663203,-3525.9281725069327
3415.0,0.020126331001227654,0.00043366701587842845,167.33532913030447,0.0007909648083482469,-167.334971832512
80079.0,80078.96681459743,0.0005638835904045257,0.0026371508367746977,12043.876608915454,12043.873407881027
40791.0,188183.3947053025,7369.6202668398755,0.000474171783717231,45992.02166597593,38622.40092496427
74020.0,74019.95107048067,0.0006778399593595528,0.0025953160499003806,8245.822549251547,8245.819276095537
29436.0,0.49208333311441704,0.0006652590312990706,853.6304714128642,0.050340124977604865,-853.5807965469179
68285.0,0.04068624624412095,0.0008057941093045582,1365.699510012711,0.003730928780585891,-1365.6965848780396
9851.0,57533.739121069644,2908.647703392769,0.00043074371905842644,11322.639859026507,8413.991724890018
17536.0,0.06575542837516679,0.00045401143338011466,1209.9802888597842,0.008390392660671282,-1209.972352478557
65315.0,0.2971677097612378,0.000534987732692494,3461.679878697614,0.04629872918080085,-3461.6341149561663
19457.0,19456.93949072673,0.0006008783557650068,0.0037363378884482734,3498.3577204326657,3498.3533832164217
96941.0,250986.68875361473,7394.193646831392,0.0005510872236031243,65758.51245344707,58364.31825552845
76065.0,76064.95912557509,0.0005529775180707946,0.0028642323997227163,5780.936893543707,5780.933476333789
23219.0,0.06876131300854244,0.0006806153599426842,812.6632305280988,0.004462609214254404,-812.6594485342445
87868.0,87867.97728345264,0.0007532510580731129,0.001605163528477633,9111.909244294038,9111.906885879453
95609.0,212769.33818127165,7029.620786531277,0.0005545476846632947,37468.680453721936,30439.059112642975
41436.0,41435.861711969366,0.000704386891489612,0.006061333291170019,2987.5256294329906,2987.518863712808
50091.0,50090.96306014728,0.0008582848306069844,0.0017583450553084556,4733.596009183918,4733.593392554032
59648.0,59648.033153826225,0.0018002662779856276,0.0008304879980967732,7384.426504443686,7384.423873689409
57007.0,123673.00787800903,3933.295155789996,0.00040755709170804254,20542.086608537298,16608.791045190213
86862.0,0.019324424911805173,0.0005740602303936578,4690.54745821443,0.0018396852516038527,-4690.546192589409
68333.0,0.015593006291749924,0.000589728945223437,3348.3167521842224,0.0013737438543031683,-3348.3159681693132
74607.0,0.013802292945182938,0.0007872804678136929,1492.1400568308625,0.0014975487845523487,-1492.1393465625458
