old exposure,new exposure,cost incr,cost decr,profit,net profit
151446.0,109981.94107459247,0.0038656935999655745,746.3583199146301,10451.116667484817,9704.75448187659
158721.0,233227.17684243195,2183.2529519738787,179.83709250992146,13648.258969431472,11285.168924947673
88801.0,112026.17530387713,3774.4645546512147,1501.985015191756,18250.058959948125,12973.609390105154
148264.0,186398.4300195027,6817.795030379868,2235.018342103629,72136.18537893878,63083.37200645529
197334.0,238964.5373137553,9122.907928224797,2582.72740920165,43165.33441229992,31459.699074873475
197232.0,120374.79560771985,2530.042027587657,3395.4149866356424,159099.3639816548,153173.9069674315
312245.0,427604.6184191983,5421.906541322368,0.005154520740576779,33914.5243973098,28492.61270146668
267431.0,326188.9073497861,7349.7009875731865,9976.348657222105,87646.95386550816,70320.90422071287
187248.0,268262.3918129902,7369.621759624263,3693.2665233797693,58035.89947150989,46973.01118850585
181592.0,131554.22296112968,2908.649852285869,2219.333007485344,19568.51647933181,14440.533619560598
199249.0,270443.9911674796,7394.195236708913,4671.6644549825105,69256.92486300158,57191.06517131015
282761.0,376702.3433516124,7029.622773375213,812.6682544717116,52361.531054168896,44519.240026321975
208182.0,274847.86580395186,3933.298518727996,0.009057723436283291,35647.63475159789,31714.327175146464
281041.0,384433.7269793275,12661.400324715938,9531.004724064647,90572.57930894045,68380.17426015985
139296.0,173642.47271805257,1786.0840093435977,0.004944627967892832,26406.410244619605,24620.32129064804
336373.0,422006.1544793593,5183.613852472106,812.112833383371,70985.80885204826,64990.08216619278
156646.0,228473.76778216896,7291.040676153422,4347.213335526661,55290.643524445564,43652.389512765476
181894.0,269900.60417646676,6023.550196360264,1836.7180048016419,46824.916247488974,38964.64804632707
