uni,value
old exposure,3675756.0
new exposure,4555034.123163402
cost incr,98781.15108717415
cost decr,48541.69011774714
profit,963262.6614297288
net profit,815939.8202248075
risk weight,1669172.8829984486
risk weight limit,2277517.0574849653
covariance,114699843818.55325
max possible profit,1019924.8353701383
target %,80.0
